2024-11-12_12:31:46.000,93564,0,-0.23132
2024-11-12_12:31:46.000,93564,1,-0.0589
2024-11-12_12:31:46.000,93564,2,0.99274
2024-11-12_12:31:46.020,93564,0,-0.23132
2024-11-12_12:31:46.020,93564,1,-0.0618
2024-11-12_12:31:46.020,93564,2,0.98129
2024-11-12_12:31:46.030,93564,0,-0.2301
2024-11-12_12:31:46.030,93564,1,-0.0618
2024-11-12_12:31:46.030,93564,2,0.97794
2024-11-12_12:31:46.050,93564,0,-0.2301
2024-11-12_12:31:46.050,93564,1,-0.06027
2024-11-12_12:31:46.050,93564,2,0.97794
2024-11-12_12:31:46.060,93564,0,-0.23071
2024-11-12_12:31:46.060,93564,1,-0.06027
2024-11-12_12:31:46.060,93564,2,0.99106
2024-11-12_12:31:46.080,93564,0,-0.21591
2024-11-12_12:31:46.080,93564,1,-0.06012
2024-11-12_12:31:46.080,93564,2,0.99106
2024-11-12_12:31:46.090,93564,0,-0.21591
2024-11-12_12:31:46.090,93564,1,-0.05875
2024-11-12_12:31:46.090,93564,2,0.98022
2024-11-12_12:31:46.110,93564,0,-0.23499
2024-11-12_12:31:46.110,93564,1,-0.05875
2024-11-12_12:31:46.110,93564,2,0.98022
2024-11-12_12:31:46.120,93564,0,-0.23499
2024-11-12_12:31:46.120,93564,1,-0.05768
2024-11-12_12:31:46.120,93564,2,0.98709
2024-11-12_12:31:46.140,93564,0,-0.23972
2024-11-12_12:31:46.140,93564,1,-0.05768
2024-11-12_12:31:46.140,93564,2,0.99869
2024-11-12_12:31:46.160,93564,0,-0.20935
2024-11-12_12:31:46.160,93564,1,-0.05722
2024-11-12_12:31:46.160,93564,2,0.99869
2024-11-12_12:31:46.170,93564,0,-0.20935
2024-11-12_12:31:46.170,93564,1,-0.05722
2024-11-12_12:31:46.170,93564,2,0.96863
2024-11-12_12:31:46.190,93564,0,-0.22552
2024-11-12_12:31:46.190,93564,1,-0.05707
2024-11-12_12:31:46.190,93564,2,0.96863
2024-11-12_12:31:46.200,93564,0,-0.22552
2024-11-12_12:31:46.200,93564,1,-0.07187
2024-11-12_12:31:46.200,93564,2,0.9903
2024-11-12_12:31:46.220,93564,0,-0.23331
2024-11-12_12:31:46.220,93564,1,-0.07187
2024-11-12_12:31:46.220,93564,2,0.99045
2024-11-12_12:31:46.230,93564,0,-0.22476
2024-11-12_12:31:46.230,93564,1,-0.05478
2024-11-12_12:31:46.230,93564,2,0.99045
2024-11-12_12:31:46.250,93564,0,-0.22476
2024-11-12_12:31:46.250,93564,1,-0.05478
2024-11-12_12:31:46.250,93564,2,0.97977
2024-11-12_12:31:46.270,93564,0,-0.23422
2024-11-12_12:31:46.270,93564,1,-0.05585
2024-11-12_12:31:46.270,93564,2,0.97977
2024-11-12_12:31:46.280,93564,0,-0.23422
2024-11-12_12:31:46.280,93564,1,-0.05478
2024-11-12_12:31:46.280,93564,2,0.9903
2024-11-12_12:31:46.300,93564,0,-0.21927
2024-11-12_12:31:46.300,93564,1,-0.05478
2024-11-12_12:31:46.300,93564,2,0.98999
2024-11-12_12:31:46.310,93564,0,-0.21927
2024-11-12_12:31:46.310,93564,1,-0.0592
2024-11-12_12:31:46.310,93564,2,0.98999
2024-11-12_12:31:46.330,93564,0,-0.22629
2024-11-12_12:31:46.330,93564,1,-0.0592
2024-11-12_12:31:46.330,93564,2,0.98938
2024-11-12_12:31:46.340,93564,0,-0.23041
2024-11-12_12:31:46.340,93564,1,-0.05951
2024-11-12_12:31:46.340,93564,2,0.98938
2024-11-12_12:31:46.360,93564,0,-0.23041
2024-11-12_12:31:46.360,93564,1,-0.05417
2024-11-12_12:31:46.360,93564,2,0.98816
2024-11-12_12:31:46.380,93564,0,-0.22354
2024-11-12_12:31:46.380,93564,1,-0.05417
2024-11-12_12:31:46.380,93564,2,0.98816
2024-11-12_12:31:46.390,93564,0,-0.22354
2024-11-12_12:31:46.390,93564,1,-0.05981
2024-11-12_12:31:46.390,93564,2,0.98694
2024-11-12_12:31:46.410,93564,0,-0.21957
2024-11-12_12:31:46.410,93564,1,-0.05981
2024-11-12_12:31:46.410,93564,2,0.97626
2024-11-12_12:31:46.420,93564,0,-0.23438
2024-11-12_12:31:46.420,93564,1,-0.05997
2024-11-12_12:31:46.420,93564,2,0.97626
2024-11-12_12:31:46.440,93564,0,-0.23438
2024-11-12_12:31:46.440,93564,1,-0.05981
2024-11-12_12:31:46.440,93564,2,0.98801
2024-11-12_12:31:46.450,93564,0,-0.215
2024-11-12_12:31:46.450,93564,1,-0.05981
2024-11-12_12:31:46.450,93564,2,0.98801
2024-11-12_12:31:46.470,93564,0,-0.215
2024-11-12_12:31:46.470,93564,1,-0.06165
2024-11-12_12:31:46.470,93564,2,0.98114
2024-11-12_12:31:46.480,93564,0,-0.22476
2024-11-12_12:31:46.480,93564,1,-0.06165
2024-11-12_12:31:46.480,93564,2,0.98663
2024-11-12_12:31:46.500,93564,0,-0.22797
2024-11-12_12:31:46.500,93564,1,-0.05875
2024-11-12_12:31:46.500,93564,2,0.98663
2024-11-12_12:31:46.520,93564,0,-0.22797
2024-11-12_12:31:46.520,93564,1,-0.05875
