2024-11-12_12:22:51.310,52363,0,-0.04883
2024-11-12_12:22:51.310,52363,1,-0.01892
2024-11-12_12:22:51.330,52363,2,1.0257
2024-11-12_12:22:51.330,52363,0,-0.03571
2024-11-12_12:22:51.340,52363,1,-0.01892
2024-11-12_12:22:51.340,52363,2,0.99716
2024-11-12_12:22:51.360,52363,0,-0.02625
2024-11-12_12:22:51.360,52363,1,-0.02579
2024-11-12_12:22:51.360,52363,2,0.99716
2024-11-12_12:22:51.380,52363,0,-0.02625
2024-11-12_12:22:51.380,52363,1,-0.01266
2024-11-12_12:22:51.380,52363,2,1.01151
2024-11-12_12:22:51.390,52363,0,-0.04654
2024-11-12_12:22:51.390,52363,1,-0.01266
2024-11-12_12:22:51.390,52363,2,1.03317
2024-11-12_12:22:51.410,52363,0,-0.04929
2024-11-12_12:22:51.410,52363,1,-0.01175
2024-11-12_12:22:51.410,52363,2,1.03317
2024-11-12_12:22:51.420,52363,0,-0.04929
2024-11-12_12:22:51.420,52363,1,-0.01709
2024-11-12_12:22:51.420,52363,2,1.01822
2024-11-12_12:22:51.440,52363,0,-0.01907
2024-11-12_12:22:51.440,52363,1,-0.01709
2024-11-12_12:22:51.440,52363,2,1.0051
2024-11-12_12:22:51.450,52363,0,-0.0322
2024-11-12_12:22:51.450,52363,1,-0.02365
2024-11-12_12:22:51.450,52363,2,1.01303
2024-11-12_12:22:51.470,52363,0,-0.05051
2024-11-12_12:22:51.470,52363,1,-0.00793
2024-11-12_12:22:51.470,52363,2,1.01303
2024-11-12_12:22:51.480,52363,0,-0.05051
2024-11-12_12:22:51.480,52363,1,-0.0209
2024-11-12_12:22:51.480,52363,2,1.01639
2024-11-12_12:22:51.500,52363,0,-0.02808
2024-11-12_12:22:51.500,52363,1,-0.0209
2024-11-12_12:22:51.500,52363,2,1.02081
2024-11-12_12:22:51.520,52363,0,-0.03922
2024-11-12_12:22:51.520,52363,1,-0.01312
2024-11-12_12:22:51.520,52363,2,1.02081
2024-11-12_12:22:51.530,52363,0,-0.03922
2024-11-12_12:22:51.530,52363,1,-0.01785
2024-11-12_12:22:51.530,52363,2,1.02417
2024-11-12_12:22:51.550,52363,0,-0.03357
2024-11-12_12:22:51.550,52363,1,-0.01785
2024-11-12_12:22:51.550,52363,2,0.98038
2024-11-12_12:22:51.560,52363,0,-0.04105
2024-11-12_12:22:51.560,52363,1,-0.01465
2024-11-12_12:22:51.560,52363,2,0.98038
2024-11-12_12:22:51.580,52363,0,-0.04105
2024-11-12_12:22:51.580,52363,1,-0.01389
2024-11-12_12:22:51.580,52363,2,1.02966
2024-11-12_12:22:51.590,52363,0,-0.03952
2024-11-12_12:22:51.590,52363,1,-0.01389
2024-11-12_12:22:51.590,52363,2,1.02554
2024-11-12_12:22:51.610,52363,0,-0.03998
2024-11-12_12:22:51.610,52363,1,-0.02075
2024-11-12_12:22:51.610,52363,2,1.00143
2024-11-12_12:22:51.620,52363,0,-0.03754
2024-11-12_12:22:51.620,52363,1,-0.02243
2024-11-12_12:22:51.620,52363,2,1.00143
2024-11-12_12:22:51.640,52363,0,-0.03754
2024-11-12_12:22:51.640,52363,1,-0.02396
2024-11-12_12:22:51.640,52363,2,1.00708
2024-11-12_12:22:51.660,52363,0,-0.02792
2024-11-12_12:22:51.660,52363,1,-0.02396
2024-11-12_12:22:51.660,52363,2,1.04141
2024-11-12_12:22:51.670,52363,0,-0.04776
2024-11-12_12:22:51.670,52363,1,-0.00046
2024-11-12_12:22:51.670,52363,2,1.04141
2024-11-12_12:22:51.690,52363,0,-0.04776
2024-11-12_12:22:51.690,52363,1,-0.02975
2024-11-12_12:22:51.690,52363,2,1.01654
2024-11-12_12:22:51.700,52363,0,-0.03204
2024-11-12_12:22:51.700,52363,1,-0.02975
2024-11-12_12:22:51.700,52363,2,0.99472
2024-11-12_12:22:51.720,52363,0,-0.03036
2024-11-12_12:22:51.720,52363,1,-0.01099
2024-11-12_12:22:51.720,52363,2,0.99472
2024-11-12_12:22:51.730,52363,0,-0.03036
2024-11-12_12:22:51.730,52363,1,-0.01266
2024-11-12_12:22:51.730,52363,2,1.02097
2024-11-12_12:22:51.750,52363,0,-0.04639
2024-11-12_12:22:51.750,52363,1,-0.01968
2024-11-12_12:22:51.750,52363,2,1.02402
2024-11-12_12:22:51.770,52363,0,-0.03677
2024-11-12_12:22:51.770,52363,1,-0.01968
2024-11-12_12:22:51.770,52363,2,1.01135
2024-11-12_12:22:51.780,52363,0,-0.03204
2024-11-12_12:22:51.780,52363,1,-0.01266
2024-11-12_12:22:51.780,52363,2,1.01135
2024-11-12_12:22:51.800,52363,0,-0.03204
2024-11-12_12:22:51.800,52363,1,-0.02075
2024-11-12_12:22:51.800,52363,2,1.01242
2024-11-12_12:22:51.810,52363,0,-0.03082
2024-11-12_12:22:51.810,52363,1,-0.02075
2024-11-12_12:22:51.810,52363,2,1.0257
2024-11-12_12:22:51.830,52363,0,-0.03784
2024-11-12_12:22:51.830,52363,1,-0.01602
2024-11-12_12:22:51.830,52363,2,1.0257
2024-11-12_12:22:51.840,52363,0,-0.03784
2024-11-12_12:22:51.840,52363,1,-0.02518
2024-11-12_12:22:51.840,52363,2,1.00021
2024-11-12_12:22:51.860,52363,0,-0.03464
2024-11-12_12:22:51.860,52363,1,-0.02518
2024-11-12_12:22:51.860,52363,2,1.02112
2024-11-12_12:22:51.880,52363,0,-0.0296
2024-11-12_12:22:51.880,52363,1,-0.02213
2024-11-12_12:22:51.880,52363,2,1.02112
2024-11-12_12:22:51.890,52363,0,-0.0296
2024-11-12_12:22:51.890,52363,1,-0.00137
2024-11-12_12:22:51.890,52363,2,1.01288
2024-11-12_12:22:51.910,52363,0,-0.04623
2024-11-12_12:22:51.910,52363,1,-0.01282
2024-11-12_12:22:51.910,52363,2,1.03958
2024-11-12_12:22:51.920,52363,0,-0.0325
2024-11-12_12:22:51.920,52363,1,-0.01282
2024-11-12_12:22:51.920,52363,2,0.98007
2024-11-12_12:22:51.940,52363,0,-0.03067
2024-11-12_12:22:51.940,52363,1,-0.0238
2024-11-12_12:22:51.940,52363,2,0.98007
2024-11-12_12:22:51.950,52363,0,-0.03067
2024-11-12_12:22:51.950,52363,1,-0.00763
2024-11-12_12:22:51.950,52363,2,1.01395
2024-11-12_12:22:51.970,52363,0,-0.05859
2024-11-12_12:22:51.970,52363,1,-0.00763
2024-11-12_12:22:51.970,52363,2,1.05103
2024-11-12_12:22:51.980,52363,0,-0.02197
2024-11-12_12:22:51.980,52363,1,-0.00778
2024-11-12_12:22:51.980,52363,2,1.05103
2024-11-12_12:22:52.000,52363,0,-0.02197
2024-11-12_12:22:52.020,52363,1,-0.01678
2024-11-12_12:22:52.020,52363,2,0.99182
2024-11-12_12:22:52.030,52363,0,-0.04105
2024-11-12_12:22:52.030,52363,1,-0.01678
2024-11-12_12:22:52.030,52363,2,1.0025
2024-11-12_12:22:52.050,52363,0,-0.03433
2024-11-12_12:22:52.050,52363,1,-0.01007
2024-11-12_12:22:52.050,52363,2,1.0025
2024-11-12_12:22:52.060,52363,0,-0.03433
2024-11-12_12:22:52.060,52363,1,-0.0087
2024-11-12_12:22:52.060,52363,2,1.01929
2024-11-12_12:22:52.080,52363,0,-0.04242
2024-11-12_12:22:52.080,52363,1,-0.01587
2024-11-12_12:22:52.080,52363,2,1.02356
2024-11-12_12:22:52.090,52363,0,-0.0264
2024-11-12_12:22:52.090,52363,1,-0.01587
2024-11-12_12:22:52.090,52363,2,1.00052
2024-11-12_12:22:52.110,52363,0,-0.04639
2024-11-12_12:22:52.110,52363,1,-0.01923
2024-11-12_12:22:52.110,52363,2,1.00052
2024-11-12_12:22:52.120,52363,0,-0.04639
2024-11-12_12:22:52.120,52363,1,-0.01511
2024-11-12_12:22:52.120,52363,2,1.01929
2024-11-12_12:22:52.140,52363,0,-0.0415
2024-11-12_12:22:52.140,52363,1,-0.01511
2024-11-12_12:22:52.140,52363,2,1.04309
2024-11-12_12:22:52.160,52363,0,-0.02625
2024-11-12_12:22:52.160,52363,1,-0.00412
2024-11-12_12:22:52.160,52363,2,1.04309
2024-11-12_12:22:52.170,52363,0,-0.02625
2024-11-12_12:22:52.170,52363,1,-0.00443
2024-11-12_12:22:52.170,52363,2,1.02203
2024-11-12_12:22:52.190,52363,0,-0.03067
2024-11-12_12:22:52.190,52363,1,-0.00443
2024-11-12_12:22:52.190,52363,2,0.99701
2024-11-12_12:22:52.200,52363,0,-0.04364
2024-11-12_12:22:52.200,52363,1,-0.01266
2024-11-12_12:22:52.200,52363,2,0.99701
2024-11-12_12:22:52.220,52363,0,-0.04364
2024-11-12_12:22:52.220,52363,1,-0.01526
2024-11-12_12:22:52.220,52363,2,1.0199
2024-11-12_12:22:52.230,52363,0,-0.03296
2024-11-12_12:22:52.230,52363,1,-0.00992
2024-11-12_12:22:52.230,52363,2,1.02112
2024-11-12_12:22:52.250,52363,0,-0.03036
2024-11-12_12:22:52.250,52363,1,-0.00992
2024-11-12_12:22:52.250,52363,2,0.98465
2024-11-12_12:22:52.270,52363,0,-0.05096
2024-11-12_12:22:52.270,52363,1,-0.01572
2024-11-12_12:22:52.270,52363,2,0.98465
2024-11-12_12:22:52.280,52363,0,-0.05096
2024-11-12_12:22:52.280,52363,1,-0.009
2024-11-12_12:22:52.280,52363,2,1.03256
2024-11-12_12:22:52.300,52363,0,-0.04242
2024-11-12_12:22:52.300,52363,1,-0.009
2024-11-12_12:22:52.300,52363,2,1.02081
2024-11-12_12:22:52.310,52363,0,-0.03006
2024-11-12_12:22:52.310,52363,1,-0.02121
2024-11-12_12:22:52.310,52363,2,1.02081
2024-11-12_12:22:52.330,52363,0,-0.03006
2024-11-12_12:22:52.330,52363,1,-0.01144
2024-11-12_12:22:52.330,52363,2,1.01807
2024-11-12_12:22:52.340,52363,0,-0.03937
2024-11-12_12:22:52.340,52363,1,-0.01144
2024-11-12_12:22:52.340,52363,2,0.99075
2024-11-12_12:22:52.360,52363,0,-0.0354
2024-11-12_12:22:52.360,52363,1,-0.00961
2024-11-12_12:22:52.360,52363,2,0.99075
2024-11-12_12:22:52.380,52363,0,-0.04272
2024-11-12_12:22:52.380,52363,1,-0.00397
2024-11-12_12:22:52.380,52363,2,1.01761
2024-11-12_12:22:52.390,52363,0,-0.04272
2024-11-12_12:22:52.390,52363,1,-0.00778
2024-11-12_12:22:52.390,52363,2,1.03546
2024-11-12_12:22:52.410,52363,0,-0.03235
2024-11-12_12:22:52.410,52363,1,-0.00778
2024-11-12_12:22:52.410,52363,2,1.01105
2024-11-12_12:22:52.420,52363,0,-0.04303
2024-11-12_12:22:52.420,52363,1,-0.01923
2024-11-12_12:22:52.420,52363,2,1.01105
2024-11-12_12:22:52.440,52363,0,-0.04303
2024-11-12_12:22:52.440,52363,1,-0.01785
2024-11-12_12:22:52.440,52363,2,1.00647
2024-11-12_12:22:52.450,52363,0,-0.01709
2024-11-12_12:22:52.450,52363,1,-0.01785
2024-11-12_12:22:52.450,52363,2,1.00754
2024-11-12_12:22:52.470,52363,0,-0.05493
2024-11-12_12:22:52.470,52363,1,-0.00931
2024-11-12_12:22:52.470,52363,2,1.00754
2024-11-12_12:22:52.480,52363,0,-0.05493
2024-11-12_12:22:52.480,52363,1,-0.0116
2024-11-12_12:22:52.480,52363,2,1.04797
2024-11-12_12:22:52.500,52363,0,-0.02197
2024-11-12_12:22:52.500,52363,1,-0.0116
2024-11-12_12:22:52.500,52363,2,0.979
2024-11-12_12:22:52.520,52363,0,-0.04181
2024-11-12_12:22:52.520,52363,1,-0.0209
2024-11-12_12:22:52.520,52363,2,0.979
2024-11-12_12:22:52.530,52363,0,-0.03525
2024-11-12_12:22:52.530,52363,1,-0.01404
2024-11-12_12:22:52.530,52363,2,1.03455
2024-11-12_12:22:52.550,52363,0,-0.03525
2024-11-12_12:22:52.550,52363,1,-0.01389
2024-11-12_12:22:52.550,52363,2,1.01959
2024-11-12_12:22:52.560,52363,0,-0.03296
2024-11-12_12:22:52.560,52363,1,-0.01389
2024-11-12_12:22:52.560,52363,2,0.9729
2024-11-12_12:22:52.580,52363,0,-0.03525
2024-11-12_12:22:52.580,52363,1,-0.0206
2024-11-12_12:22:52.580,52363,2,0.9729
2024-11-12_12:22:52.590,52363,0,-0.03525
2024-11-12_12:22:52.590,52363,1,-0.00366
2024-11-12_12:22:52.590,52363,2,1.02325
2024-11-12_12:22:52.610,52363,0,-0.05478
2024-11-12_12:22:52.610,52363,1,-0.00366
2024-11-12_12:22:52.610,52363,2,1.04279
2024-11-12_12:22:52.620,52363,0,-0.02609
2024-11-12_12:22:52.620,52363,1,-0.02319
2024-11-12_12:22:52.620,52363,2,1.04279
2024-11-12_12:22:52.640,52363,0,-0.02609
2024-11-12_12:22:52.640,52363,1,-0.02686
2024-11-12_12:22:52.640,52363,2,0.98099
2024-11-12_12:22:52.660,52363,0,-0.04547
2024-11-12_12:22:52.660,52363,1,-0.02686
2024-11-12_12:22:52.670,52363,2,1.02341
2024-11-12_12:22:52.690,52363,0,-0.03036
2024-11-12_12:22:52.690,52363,1,-0.01724
2024-11-12_12:22:52.690,52363,2,1.02341
2024-11-12_12:22:52.700,52363,0,-0.04456
2024-11-12_12:22:52.700,52363,1,-0.00839
2024-11-12_12:22:52.700,52363,2,0.99976
2024-11-12_12:22:52.720,52363,0,-0.04456
2024-11-12_12:22:52.720,52363,1,-0.0206
2024-11-12_12:22:52.720,52363,2,1.03806
2024-11-12_12:22:52.730,52363,0,-0.03922
2024-11-12_12:22:52.730,52363,1,-0.0206
2024-11-12_12:22:52.730,52363,2,1.01593
2024-11-12_12:22:52.750,52363,0,-0.03357
2024-11-12_12:22:52.750,52363,1,-0.01984
2024-11-12_12:22:52.750,52363,2,1.01593
2024-11-12_12:22:52.770,52363,0,-0.03357
2024-11-12_12:22:52.770,52363,1,0.00031
2024-11-12_12:22:52.770,52363,2,1.00266
